"";"name";"ID";"agreement_start";"creditcardnr";"default";"date_of_default"
"2695";"Temeka Harber";"625-84-6369";1998-07-17;"2182-7843-4101-3250";0;NA
"2696";"Jacob Hane";"809-35-1111";1997-05-18;"1232-9379-7089-6979";0;NA
"2697";"Foster Dickinson";"758-81-5144";1990-06-12;"4309-4536-1924-5873";1;"2017-10-10"
"2698";"Silva Shields";"137-39-3288";2002-07-26;"4553-4582-6671-6599";0;NA
"2699";"Hiram Abbott";"193-41-7586";2002-05-29;"5452-3396-3498-9774";0;NA
"2700";"Liana Wiza";"428-90-3527";1999-05-11;"9457-3591-5720-4085";1;"2011-07-08"
"2701";"August Schaefer";"360-98-2215";1997-06-10;"9958-2250-6815-5189";1;"2005-01-18"
"2702";"Emmanuel Collier";"625-42-3509";2001-07-18;"6354-8363-8358-5383";0;NA
"2703";"Stephanie Mante";"500-68-8000";1996-10-01;"9104-9369-1572-2174";0;NA
"2704";"Jame Effertz";"374-72-4926";1998-03-21;"8695-3109-2269-2547";0;NA
"2705";"Jerold McLaughlin";"606-24-1260";1994-08-13;"5715-1792-7596-2766";0;NA
"2706";"Lloyd Fisher";"909-14-2395";1991-06-24;"6768-7388-7999-4933";0;NA
"2707";"Genaro Jaskolski";"988-27-4987";1996-12-17;"9322-3803-2416-1315";1;"2013-03-12"
"2708";"Micah Flatley";"962-58-5008";1999-03-23;"1561-4988-7728-8141";0;NA
"2709";"Valda Walker";"895-63-6351";1999-12-12;"7806-1697-8258-1621";1;"2019-01-25"
"2710";"Christi Gaylord";"985-59-1860";1992-04-14;"6814-3538-5382-6346";0;NA
"2711";"Michaela Rutherford";"217-32-1858";1999-12-08;"1152-5615-5810-9820";0;NA
"2712";"Kendra Douglas";"898-56-8238";1999-07-17;"5337-9224-9647-8479";1;"2009-10-15"
"2713";"Shawanna Feeney";"627-23-1128";1999-05-16;"7232-1769-6041-5376";0;NA
"2714";"Melany Reichert";"534-53-1307";1992-07-22;"1166-7534-5826-1625";0;NA
"2715";"Jermaine Olson";"253-99-8150";1995-11-01;"8516-9884-3892-1121";0;NA
"2716";"Maura Orn";"758-88-9801";1997-01-02;"2530-5544-5823-3245";0;NA
"2717";"Jacob Schultz";"295-68-3919";1999-01-24;"4048-3562-9449-5113";1;"2006-10-07"
"2718";"Rico Johnston";"921-44-4975";1994-12-01;"7108-1242-1059-2668";0;NA
"2719";"Angelita Sanford";"631-28-7330";2002-11-15;"4383-5934-1911-2126";0;NA
"2720";"Tomas Runolfsdottir";"826-28-2121";2002-03-06;"9576-2567-8813-1998";0;NA
"2721";"Loise Sanford";"310-38-5057";1994-02-22;"8742-2852-6530-1093";1;"2020-06-23"
"2722";"Kemberly Schneider";"786-83-8530";1999-06-29;"9279-5222-2381-7217";0;NA
"2723";"Hilario Runolfsson";"475-98-2219";2003-12-31;"2306-7955-1542-2481";0;NA
"2724";"Maxima Davis";"404-67-9228";1997-10-22;"8803-6714-6886-7167";0;NA
"2725";"Vina Koch";"792-90-9504";1990-09-27;"8320-8822-3092-1799";0;NA
"2726";"Pasty Barrows";"842-15-2260";2003-05-10;"5312-4691-4038-4831";0;NA
"2727";"Beaulah Crist";"763-47-3117";1990-11-17;"2997-7829-3633-6567";0;NA
"2728";"Jerold Borer";"330-92-9503";1991-11-22;"1249-4715-8631-9748";0;NA
"2729";"Porsche Paucek";"588-21-2744";1995-12-29;"7949-7920-8255-2440";0;NA
"2730";"Lizzie Haley";"986-22-6399";1995-03-07;"1893-6870-9966-3616";0;NA
"2731";"Kam Crist";"555-84-2312";1994-12-03;"9133-7492-2629-8776";0;NA
"2732";"Ty Herman";"274-58-1376";2000-06-15;"3121-1070-8473-9290";0;NA
"2733";"Richie Stoltenberg";"504-42-4083";2002-07-24;"7538-2986-2994-8785";0;NA
"2734";"Owen Kilback";"850-78-9578";1992-03-05;"4533-6542-1392-8006";1;"2008-10-09"
"2735";"Meaghan Hermann";"959-55-5085";2001-07-06;"5907-4286-6703-5434";0;NA
"2736";"Tina Runte";"939-24-9089";1999-12-17;"4864-2059-9674-3434";0;NA
"2737";"Lee Torphy";"295-72-3386";1992-06-23;"8245-8130-4706-9632";0;NA
"2738";"Steve Hansen";"204-72-6486";1995-04-25;"5442-8557-5639-7904";1;"2009-05-12"
"2739";"Brent Hane";"261-19-3914";1996-02-27;"3974-7007-9248-4552";0;NA
"2740";"Oliver Auer";"458-43-2514";1994-03-18;"7816-8076-1496-2208";0;NA
"2741";"Heriberto Gislason";"237-13-7541";1997-05-15;"1463-2115-8959-4321";0;NA
"2742";"Darrick Johns";"920-24-2221";1998-03-12;"5854-5615-2882-9890";0;NA
"2743";"Lidia Emmerich";"496-23-2112";1990-02-28;"4619-7904-1529-6651";0;NA
"2744";"Demetra Barton";"831-21-3672";2001-09-22;"9385-8644-9222-5864";0;NA
"2745";"Jamel Gibson";"522-18-6948";1995-12-11;"9800-6233-3123-7241";0;NA
"2746";"Roderick Hoppe";"188-81-4727";1992-03-19;"5999-7964-4954-1564";0;NA
"2747";"Ty Heathcote";"744-60-7713";2001-11-19;"6385-8491-6924-9722";0;NA
"2748";"Loreen Corwin";"312-94-7324";1994-12-11;"6654-5367-5489-8997";0;NA
"2749";"Marcus Daugherty";"860-10-6280";2000-06-11;"7265-4262-5280-9008";1;"2006-12-14"
"2750";"Eloisa Williamson";"108-70-3774";1993-08-24;"9962-9378-6265-2861";0;NA
"2751";"Laveta Okuneva";"312-86-8052";1994-08-28;"1966-6893-9674-9453";1;"2008-07-29"
"2752";"Scarlett Conn";"237-79-4977";2001-11-18;"4906-6685-1778-6232";0;NA
"2753";"Kerry Ortiz";"414-33-6433";2000-10-05;"2682-9215-3820-5497";0;NA
"2754";"Felton Lemke";"660-46-5012";1996-02-29;"9118-1843-2839-2366";0;NA
"2755";"Sharon Mante";"707-56-5575";2002-06-06;"1149-1946-8986-3572";0;NA
"2756";"Lucius Bahringer";"329-78-6470";1994-04-05;"2793-7971-7829-3308";0;NA
"2757";"Sergio Stiedemann";"132-70-3232";1998-09-02;"7333-4835-3145-4721";0;NA
"2758";"Dwain Ziemann";"239-41-9079";1995-11-25;"6891-1392-9236-1487";0;NA
"2759";"Rosella Greenfelder";"474-71-7770";1991-01-04;"7499-7228-3496-9616";0;NA
"2760";"Temika Leuschke";"139-90-9835";1993-12-21;"9308-4530-9733-1389";0;NA
"2761";"Alexander Luettgen";"580-62-8601";1997-10-04;"8311-1458-3460-2673";0;NA
"2762";"Dorian O'Hara";"198-59-6599";1999-06-24;"2521-6502-8621-8002";0;NA
"2763";"Thad Borer";"227-59-9172";1994-09-15;"3183-6829-7749-5519";0;NA
"2764";"Emanuel Kirlin";"841-49-3526";1998-05-26;"3101-6457-9170-9877";0;NA
"2765";"Jamison Jacobson";"291-62-3360";1995-02-04;"8092-5628-7531-7815";0;NA
"2766";"Fabian Thompson";"478-70-1113";2003-06-16;"5198-9105-5533-7040";0;NA
"2767";"Rhett Gerhold";"391-93-2839";1994-10-19;"4589-8953-9508-8834";0;NA
"2768";"Jeffry Lakin";"638-98-5140";1990-03-20;"9237-8836-7241-8468";1;"2013-10-31"
"2769";"Stevie Douglas";"382-35-9142";2003-11-15;"7638-7447-5905-2290";1;"2019-01-22"
"2770";"Vernon Zboncak";"868-87-8002";1999-07-30;"3768-2152-9786-6118";1;"2012-06-10"
"2771";"Jeanene Walsh";"939-43-3944";1991-03-14;"8056-9470-4004-6431";0;NA
"2772";"Kaci Kuvalis";"869-89-9510";1999-08-06;"8840-3168-2889-8439";1;"2009-04-25"
"2773";"Kareem Hane";"553-66-5022";1995-07-25;"6147-4135-7769-5171";0;NA
"2774";"Bernie Predovic";"567-34-3430";1994-04-13;"6595-3838-6519-3625";1;"2014-04-29"
"2775";"Caterina Ullrich";"403-30-9673";2003-03-05;"4566-2429-9531-1726";0;NA
"2776";"Lala Jewess";"590-53-2687";1998-01-06;"3484-2543-3659-5819";0;NA
"2777";"Jess Kozey";"495-98-4010";1996-06-07;"8406-5139-3215-4114";0;NA
"2778";"Jayson Weber";"644-90-3611";2003-07-06;"8395-1218-4717-1865";1;"2017-10-27"
"2779";"Matilde Christiansen";"934-39-9351";1997-05-16;"7724-1364-5384-1020";0;NA
"2780";"Marshall Wisozk";"968-95-8111";1994-01-10;"1684-4601-9158-1082";0;NA
"2781";"Shyla Jacobi";"776-29-5468";2003-08-12;"9669-5334-9461-7330";0;NA
"2782";"Jennette Murray";"427-28-2985";1995-09-29;"8495-4771-3913-4258";0;NA
"2783";"Bess Kerluke";"755-34-3615";1991-02-01;"4804-4325-2857-6038";0;NA
"2784";"Angelic Maggio";"652-77-7850";1997-11-10;"8839-2595-1767-6583";0;NA
"2785";"Sheila Schinner";"678-40-3155";1996-10-29;"3610-1183-6255-7822";0;NA
"2786";"Brenton Friesen";"699-70-3774";1994-07-08;"1477-1690-8638-6444";0;NA
"2787";"Ezequiel Rosenbaum";"794-90-2655";1992-07-15;"3955-9531-8013-3121";0;NA
"2788";"Jeanne Koelpin";"327-52-4217";1998-01-31;"8744-1587-3097-4379";0;NA
"2789";"Stephanie Yost";"531-44-6243";1991-12-14;"6695-9135-5545-4631";1;"2006-10-05"
"2790";"Vincenza Doyle";"746-76-7546";1992-07-14;"2959-9042-9778-1216";0;NA
"2791";"Armando Jenkins";"277-42-6380";1992-06-09;"6802-2532-9576-2114";0;NA
"2792";"Corie Stamm";"528-57-3861";2000-01-29;"3543-8776-1149-1493";0;NA
"2793";"Dominick Eichmann";"441-85-5445";1993-06-15;"3089-5784-5948-8858";0;NA
"2794";"Elden Bogan";"582-49-9466";1998-10-18;"1648-6970-2370-1756";0;NA
"2795";"Julianna Armstrong";"155-53-1728";2003-07-24;"1716-7144-7487-7674";0;NA
"2796";"Justin Gutkowski";"947-61-3397";1997-06-23;"8008-9882-3188-3256";0;NA
"2797";"Kenyetta Reynolds";"326-16-7299";1997-07-07;"8355-2593-8687-7777";0;NA
"2798";"Kieth Marks";"980-43-3010";1999-02-08;"5461-9637-6151-9477";0;NA
"2799";"Garret Hartmann";"766-37-7679";1992-05-06;"2238-1288-7273-4308";0;NA
"2800";"Delbert Leuschke";"492-49-4815";1998-09-11;"6773-6519-7094-7912";0;NA
"2801";"Tyree Rippin";"483-58-7810";1995-10-04;"9751-9908-3654-1375";1;"2020-04-17"
"2802";"Dacia Stoltenberg";"989-84-8862";1990-07-01;"2140-9831-3935-4171";1;"2012-06-20"
"2803";"Odell Berge";"131-55-8255";1998-10-08;"5867-6568-8059-1791";0;NA
"2804";"Mac Dietrich";"342-27-3397";1991-01-23;"3610-3698-6281-4845";1;"2007-01-13"
"2805";"Caroyln O'Connell";"248-28-6657";1996-12-13;"1309-5483-4738-3524";0;NA
"2806";"Alanna Kilback";"306-65-4590";1998-03-03;"3933-1833-2539-4313";0;NA
"2807";"Young Schinner";"572-20-5626";1999-05-15;"6312-8777-6802-6644";0;NA
"2808";"Barry Lakin";"754-30-9161";2001-06-23;"5650-9048-2843-4321";0;NA
"2809";"Ralph Ebert";"427-59-6245";1996-10-25;"7501-3950-1259-3623";0;NA
"2810";"Paris Zulauf";"686-99-9232";1993-03-30;"6258-7445-9614-4870";1;"2007-02-28"
"2811";"Corrie Purdy";"295-32-9799";2003-11-19;"5050-1458-3227-7001";1;"2009-09-11"
"2812";"Isaiah Turcotte";"581-98-3029";1996-12-07;"7032-1990-4002-4570";0;NA
"2813";"Val Williamson";"953-60-2572";2003-11-22;"7692-3585-4053-9291";0;NA
"2814";"Brent Hane";"347-52-8047";1990-07-18;"9937-4119-5402-7754";0;NA
"2815";"Dennis Kutch";"119-71-4890";1991-10-31;"4134-6640-2699-2219";0;NA
"2816";"Quinn Herzog";"192-43-1367";2000-05-07;"1561-7651-6007-3886";1;"2019-11-06"
"2817";"Kiana Collier";"220-90-1602";1992-02-08;"2777-1511-4182-3292";0;NA
"2818";"Lottie Bernier";"317-36-2173";1998-11-01;"6950-8655-5356-4801";1;"2019-07-10"
"2819";"Mai Roob";"683-69-5908";1994-08-25;"1436-8924-7638-4118";0;NA
"2820";"Leighann Lynch";"923-31-9561";2001-09-05;"8284-5831-6115-3250";0;NA
"2821";"Gregoria Considine";"536-90-6357";1995-04-24;"2676-2875-3135-6522";0;NA
"2822";"Bill Hickle";"322-11-9415";1993-12-23;"8339-7350-7749-4788";0;NA
"2823";"Ahmad Parker";"568-95-8905";1993-05-04;"9862-5457-7967-8431";0;NA
"2824";"Bernardo Prosacco";"750-83-8641";1992-07-13;"6827-8817-2771-5937";0;NA
"2825";"Rachel Collier";"658-19-4984";2003-09-12;"8470-4724-5413-7385";0;NA
"2826";"Collene Runolfsson";"911-82-2247";2000-04-28;"7884-5218-9187-4908";0;NA
"2827";"Era Auer";"375-28-8638";2003-06-18;"9695-5955-5432-1133";0;NA
"2828";"Yee Johns";"957-18-8824";1995-12-17;"8155-4107-7323-6254";0;NA
"2829";"Josette Boehm";"182-67-9360";2001-05-14;"8965-2998-9723-4134";0;NA
"2830";"Matthew Waelchi";"473-83-6366";1993-08-26;"1813-3846-7312-8321";1;"2017-02-26"
"2831";"Ian Gorczany";"821-16-7581";1994-02-19;"2167-1647-6223-2158";0;NA
"2832";"Rosie Berge";"938-56-1083";1991-04-03;"1146-6889-8081-7702";0;NA
"2833";"Elijah Hegmann";"299-69-2632";1997-04-25;"7044-8641-1766-4592";0;NA
"2834";"Mei Smith";"522-27-7699";1992-06-06;"7699-8418-3545-3400";1;"2004-09-25"
"2835";"Carolin Fadel";"359-28-6933";1997-07-16;"2903-6432-3894-8501";0;NA
"2836";"Tracy Dooley";"878-10-2889";1993-01-31;"7057-2334-3809-7331";1;"2017-07-18"
"2837";"Marquis Kerluke";"238-59-8227";1997-10-16;"5256-6757-5118-3998";0;NA
"2838";"Honey Roberts";"796-23-2605";1997-06-11;"5742-3914-9340-9058";0;NA
"2839";"Elmo Hermann";"764-19-7357";2001-01-20;"3792-9952-9926-9315";0;NA
"2840";"Andre Wehner";"340-58-8944";1994-02-15;"8279-8476-1944-2443";0;NA
"2841";"Lazaro Keebler";"398-51-7787";2002-10-15;"2098-7274-6737-9279";0;NA
"2842";"Tisa Kassulke";"233-27-1414";1997-08-15;"7809-4277-3504-7053";0;NA
"2843";"Roslyn Kub";"783-52-3626";1993-02-11;"8261-3498-5388-9583";0;NA
"2844";"Alonzo Wiegand";"166-24-3837";1992-04-23;"8906-3143-2161-1962";0;NA
"2845";"Nedra Stanton";"624-73-1301";1997-03-19;"9334-5785-1909-8186";0;NA
"2846";"Donald Olson";"689-23-5067";1993-04-06;"7441-3741-7428-4422";1;"2009-06-01"
"2847";"Robbie Cassin";"566-28-5509";1991-11-18;"6222-1004-3298-1521";0;NA
"2848";"Trish Hartmann";"566-87-6017";2001-05-30;"9202-3726-9391-7132";0;NA
"2849";"Bruno Hoeger";"926-46-9501";2000-07-02;"7204-2063-1559-4523";0;NA
"2850";"Sung Bosco";"928-48-1475";1994-12-15;"3167-8056-9181-9126";0;NA
"2851";"Arvilla Stokes";"919-50-6352";1994-01-07;"1656-9695-7616-3357";0;NA
"2852";"Stefany Renner";"520-64-1115";2002-12-30;"5828-8424-8473-8982";0;NA
"2853";"Danny Wehner";"518-42-7432";1999-12-27;"8194-1077-8463-4720";0;NA
"2854";"Peter Berge";"668-92-6406";1999-02-03;"2236-5814-3525-4942";0;NA
"2855";"Rolland Gutmann";"237-40-3526";1993-06-10;"4128-8056-7004-5405";0;NA
"2856";"Therese Schaden";"451-98-2226";2003-06-13;"8424-6809-8300-1748";0;NA
"2857";"Erika Jaskolski";"762-18-6705";2001-02-19;"8991-4453-2815-5664";0;NA
"2858";"Jefferson Frami";"103-47-2162";1996-09-06;"3816-8387-7992-1234";0;NA
"2859";"Hugh Corkery";"705-20-9363";1991-10-03;"1352-6393-7096-2865";1;"2012-07-08"
"2860";"Hoyt Kris";"962-86-7471";2001-11-04;"7785-6283-1282-5749";0;NA
"2861";"Anja Rath";"863-34-6164";2002-01-12;"7414-7255-9652-2263";0;NA
"2862";"Jed Veum";"339-43-6206";2000-06-01;"4450-4428-2396-5195";1;"2011-11-11"
"2863";"Keri Schamberger";"113-73-6939";2000-09-26;"4566-2525-6859-8598";0;NA
"2864";"Ema Keeling";"558-41-8044";2002-09-16;"8167-9227-1227-7412";0;NA
"2865";"Milton Howell";"193-27-5735";1991-07-09;"8609-8908-4743-5007";1;"2016-02-02"
"2866";"Augustine Romaguera";"646-91-5362";2003-11-23;"7526-8262-1742-8109";0;NA
"2867";"Travis Funk";"239-28-4860";2001-08-25;"6075-3048-5283-3355";0;NA
"2868";"Leontine Bednar";"489-54-9141";1997-04-19;"5118-5432-2611-4606";1;"2014-01-08"
"2869";"Merle Corwin";"242-83-1245";1993-06-14;"7878-3612-1184-5618";0;NA
"2870";"Lawerence Koepp";"604-42-3376";2003-03-03;"7430-7947-6260-8561";0;NA
"2871";"Cori Nolan";"766-85-6615";2003-05-31;"9090-1147-4811-1668";0;NA
"2872";"Salvatore Bartell";"766-41-7949";2001-09-13;"8422-5943-8137-4840";0;NA
"2873";"Willis Dare";"172-91-7041";1990-03-18;"7433-8805-6936-9345";0;NA
"2874";"Christopher Veum";"556-73-1391";2002-07-11;"8150-1436-8527-4470";0;NA
"2875";"Brent Bashirian";"570-13-8787";1993-06-13;"8045-4010-9410-4792";1;"2012-04-06"
"2876";"Leonel Crooks";"657-90-3204";1991-12-03;"4295-1670-6733-3290";1;"2007-11-21"
"2877";"Yaeko Greenfelder";"178-34-1503";2002-09-08;"9760-2817-2374-3122";0;NA
"2878";"Dexter Christiansen";"198-13-3081";2000-12-27;"2156-4927-1524-4288";0;NA
"2879";"Kimberlie Schamberger";"826-83-4568";1997-06-12;"1970-3121-5652-3509";0;NA
"2880";"Melia Wiegand";"907-17-2815";1998-04-16;"4655-1772-7819-1575";0;NA
"2881";"Elinore Pouros";"235-55-9578";1996-02-01;"6847-6682-1016-5018";1;"2016-09-18"
"2882";"Kelvin Botsford";"658-33-9418";1993-03-19;"5449-8337-7465-8569";0;NA
"2883";"Garrett Jast";"410-49-5093";2000-02-18;"7756-2877-7810-8769";0;NA
"2884";"Karissa Kub";"701-87-5365";2002-08-26;"9275-7750-3402-1482";1;"2004-09-23"
"2885";"Ulrike Ortiz";"113-37-3017";2002-04-30;"5201-1351-8442-1063";0;NA
"2886";"Valene Bayer";"903-11-3010";1996-12-12;"9502-4185-1449-1362";1;"2014-06-20"
"2887";"Carina Gibson";"781-78-3539";2002-11-17;"8683-8251-4049-3258";0;NA
"2888";"Brian Herman";"497-22-8276";1995-06-15;"9073-8270-1774-5382";0;NA
"2889";"Lenard Bernhard";"865-50-1753";2002-11-04;"8221-8610-9469-1290";0;NA
"2890";"Laurence Rodriguez";"859-22-1842";2001-02-14;"6905-8672-9986-4031";0;NA
"2891";"Coralie Hills";"495-59-9540";1996-06-29;"3470-1192-9642-5444";1;"2015-11-24"
"2892";"Arnulfo Considine";"806-13-7286";1999-07-23;"4536-9861-4549-2314";0;NA
"2893";"Stefani Jacobson";"596-87-3849";1991-11-21;"1299-8943-5480-4243";0;NA
"2894";"Gustavo Monahan";"428-93-7988";2002-03-18;"2300-2318-7751-7800";1;"2010-05-16"
"2895";"Jospeh Thiel";"565-17-7468";1997-09-01;"1186-5424-7731-1542";1;"2018-03-17"
"2896";"Mao Beer";"562-40-5897";1993-07-20;"9965-8343-7486-7327";0;NA
"2897";"Erick Johns";"797-92-7596";2003-04-07;"5012-1411-3884-5332";0;NA
"2898";"Farrah Krajcik";"850-82-2408";1995-12-14;"6022-4414-1100-4325";0;NA
"2899";"Eloy Quigley";"689-48-4757";1993-07-10;"8438-2644-4354-5853";1;"2005-12-18"
"2900";"Pierre Zieme";"471-87-5161";1990-07-17;"3324-6624-9578-1633";0;NA
"2901";"Ophelia Ullrich";"718-62-1518";1994-12-28;"3500-4175-9587-6725";0;NA
"2902";"Stanton Skiles";"667-18-1570";2003-04-21;"7544-9825-5962-3202";1;"2014-01-05"
"2903";"Suzan Rempel";"785-91-9836";1996-04-13;"8395-1978-1008-9930";1;"2016-12-18"
"2904";"Laurette Brown";"291-94-8499";1992-08-16;"4798-7861-8935-4283";0;NA
"2905";"Lauren Rowe";"782-99-9632";1996-01-11;"2205-9872-9016-2647";0;NA
"2906";"Ray Hettinger";"199-62-7911";1995-10-23;"5019-4353-5901-5713";0;NA
"2907";"Alline Ritchie";"565-25-8848";1997-02-09;"8094-5051-9291-8728";1;"2015-08-28"
"2908";"Jamie Little";"310-50-1694";1992-06-12;"1112-6845-4173-6648";1;"2006-04-28"
"2909";"Isabelle Schulist";"120-71-5860";1993-09-29;"5000-4259-2375-4388";0;NA
"2910";"Leland Abshire";"261-38-8475";1994-08-22;"7961-5400-6995-4124";1;"2014-01-26"
"2911";"Ellis Harvey";"233-65-5385";2001-07-19;"3357-1924-9217-8111";0;NA
"2912";"Darcie Corwin";"417-92-4435";1999-06-22;"2719-4579-5028-3525";0;NA
"2913";"Twanda Swift";"845-37-8004";1996-04-07;"8858-6115-7917-5054";0;NA
"2914";"Rudy Torphy";"660-61-4346";1997-09-08;"2266-6188-2326-4326";0;NA
"2915";"Nicholas Bogisich";"187-97-4388";1997-10-29;"1115-7428-9284-8314";0;NA
"2916";"Leola Dibbert";"139-77-3942";2001-03-14;"9668-5134-3188-2614";1;"2013-10-17"
"2917";"Lurline Koch";"834-34-7575";1998-03-09;"5593-2498-3205-4803";1;"2010-02-06"
"2918";"Wilber Raynor";"920-37-5422";1997-01-19;"1498-7521-3899-2657";0;NA
"2919";"Guadalupe Rohan";"637-46-4338";1996-06-16;"7438-8134-1585-7364";0;NA
"2920";"Elodia Mann";"349-58-3754";1992-04-09;"3414-5237-5545-2180";0;NA
"2921";"Domingo Ward";"765-91-8157";2002-01-21;"1212-8493-3501-5877";0;NA
"2922";"Carroll Lynch";"142-69-4407";1990-10-14;"4316-1309-5158-4321";0;NA
"2923";"Kory Conroy";"803-69-8697";1997-10-15;"3758-1725-6872-3058";0;NA
"2924";"Maryanne Hills";"935-71-4199";1993-03-07;"5106-3822-9898-9064";0;NA
"2925";"Ezekiel Sawayn";"214-44-7781";1990-01-03;"7412-5286-2201-2727";0;NA
"2926";"Maranda Wilderman";"841-58-6926";1994-07-22;"9672-5546-9068-8064";0;NA
"2927";"Valentin Mayert";"642-65-4775";1996-04-09;"9021-1173-2113-9640";0;NA
"2928";"Jacquie Prohaska";"109-43-3147";2003-10-22;"9067-5511-7655-3231";0;NA
"2929";"Harrison Weimann";"873-39-2929";1996-04-14;"9759-1363-9761-3846";0;NA
"2930";"Jeremiah Durgan";"338-10-9650";2001-12-11;"3877-3756-7078-2734";0;NA
"2931";"Raymond Altenwerth";"240-98-8051";1997-11-30;"8361-4028-3058-2713";0;NA
"2932";"Rodney Zboncak";"399-86-2223";1997-03-11;"6798-9606-3582-2423";0;NA
"2933";"Tenisha Koss";"952-83-9490";2001-06-11;"5566-2017-9814-2314";0;NA
"2934";"Roseanne Jones";"935-90-4667";1996-09-15;"6880-2332-1847-7845";0;NA
"2935";"Abel Aimonetti";"385-54-7649";1999-08-15;"6486-3775-2778-1831";0;NA
"2936";"Gladis Heller";"763-49-1547";1994-01-16;"6854-7627-9255-5714";0;NA
"2937";"Trudy Huels";"298-58-6773";1994-02-09;"9617-5673-4567-1469";0;NA
"2938";"Dalton Gerlach";"415-38-3808";2000-10-23;"9990-5133-4408-1372";0;NA
"2939";"Hildegarde McDermott";"150-43-2052";2000-04-22;"3816-2970-3025-6622";0;NA
"2940";"Amado Friesen";"810-39-8099";1993-02-17;"4490-5418-4703-9007";0;NA
"2941";"Enoch Harvey";"213-50-3190";2003-01-18;"7632-4443-8550-8610";1;"2004-04-26"
"2942";"Casey Gulgowski";"987-44-7433";2002-08-07;"4163-5254-3988-3881";0;NA
"2943";"Malcom Hilpert";"188-32-8511";2003-12-07;"6304-1853-6566-2456";0;NA
"2944";"Kenton Little";"452-19-4822";1996-09-07;"4921-8728-1306-5337";1;"2006-01-16"
"2945";"Doug Hansen";"941-87-8399";1992-11-22;"2272-3662-5667-5238";0;NA
"2946";"Marvel Blick";"191-76-1713";1990-12-03;"4982-9879-1972-1533";0;NA
"2947";"Marsha Trantow";"510-64-4761";1994-06-10;"2871-1942-9559-6452";0;NA
"2948";"Warren Turner";"321-16-2299";2000-11-08;"4801-6690-5103-4750";0;NA
"2949";"Janeth Sipes";"769-16-1503";1997-05-22;"2499-9176-7031-5088";0;NA
"2950";"Kristina Howe";"400-84-6851";1999-06-05;"4172-9384-2327-8403";0;NA
"2951";"Alfonso Hills";"543-28-6975";1994-02-16;"9277-1310-4708-2173";0;NA
"2952";"Lester Powlowski";"305-26-4187";1992-09-04;"4601-9542-7876-3294";1;"2009-01-16"
"2953";"Jerome Cummings";"536-31-7248";1990-11-24;"4310-2147-5505-2628";0;NA
"2954";"Valentin Schaefer";"695-14-3593";1996-02-14;"6137-3395-1233-3803";0;NA
"2955";"Linnea Adams";"620-48-6744";1995-07-19;"3856-6563-7639-4013";1;"2018-11-24"
"2956";"Afton Jenkins";"406-37-1556";1994-12-16;"4131-9622-9806-2037";0;NA
"2957";"Jazmin Towne";"435-37-3304";1994-09-30;"9265-2691-2096-1897";1;"2009-03-25"
"2958";"Alisia Ondricka";"875-66-7059";2001-08-28;"7678-9367-9824-2430";0;NA
"2959";"Lia Gorczany";"305-83-7339";1992-09-21;"4792-4853-5917-9434";0;NA
"2960";"Harry Nitzsche";"701-85-7480";1996-02-11;"5409-2301-5916-6138";0;NA
"2961";"Deon Price";"755-17-6013";1992-01-16;"3317-6400-4278-4686";0;NA
"2962";"Karisa Gusikowski";"553-33-5424";1992-08-10;"6113-1265-3489-4182";0;NA
"2963";"Willow Frami";"143-94-7729";1993-11-18;"1991-5755-2349-3818";0;NA
"2964";"Anamaria Heidenreich";"273-44-6886";2001-03-27;"3355-3038-8514-5070";0;NA
"2965";"Krystal Rau";"184-41-2393";2003-05-30;"2270-8895-6453-6307";0;NA
"2966";"Marisela Wiegand";"403-55-9827";2002-11-07;"1180-8338-4836-9998";0;NA
"2967";"Ilona Luettgen";"270-28-7520";1995-04-17;"2588-1726-8751-4860";0;NA
"2968";"Alfred Frami";"368-97-4096";1991-08-12;"2265-7048-4906-4985";0;NA
"2969";"Bradly Harris";"958-37-9625";1993-07-11;"6177-1011-2297-5789";1;"2015-12-11"
"2970";"Candance Von";"301-37-3359";1997-01-11;"7492-9824-3290-2307";1;"2009-01-19"
"2971";"Salvador Cormier";"752-26-2454";1999-05-07;"1489-7343-3963-6742";0;NA
"2972";"Minh Kuhlman";"243-48-6769";1994-05-21;"5963-4100-7021-4512";0;NA
"2973";"Diego Schmitt";"758-30-3055";1993-06-23;"7816-6285-9921-5205";0;NA
"2974";"Rose Zboncak";"803-17-4437";1996-02-09;"2678-1131-2307-8149";0;NA
"2975";"Mervin Cartwright";"773-34-3579";1999-10-26;"8120-9089-7477-6031";0;NA
"2976";"Milly Muller";"218-31-5284";1999-11-13;"8268-3276-5446-9642";0;NA
"2977";"Dario Wunsch";"624-84-8269";1997-08-23;"7666-2107-7016-1760";0;NA
"2978";"Brendan Hettinger";"874-43-6072";2002-07-04;"1315-5283-9749-1730";1;"2012-10-01"
"2979";"Evan Terry";"318-47-1448";2002-01-24;"1824-3879-4582-5778";0;NA
"2980";"Shaun Bogan";"866-83-2611";1992-09-30;"8521-1666-6303-2522";0;NA
"2981";"Dorotha Koss";"732-79-5829";2002-10-22;"1851-6862-8738-6162";1;"2012-04-24"
"2982";"Darby Koss";"569-79-4729";1995-01-08;"8637-7665-6548-9390";0;NA
"2983";"Monte McDermott";"431-92-9695";1991-09-15;"1671-6758-5991-2515";0;NA
